Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Read blend: "/home/naresh/Documents/nareshpane.github.io/research/gpt-6-astra-blender/blender/city_master.blend"
Fra:1 Mem:35.76M (Peak 35.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | City foundation
Fra:1 Mem:42.44M (Peak 42.44M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B055 • Civic Terrace
Fra:1 Mem:42.48M (Peak 42.48M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B056 • Civic Terrace
Fra:1 Mem:42.48M (Peak 42.48M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B057 • Civic Terrace
Fra:1 Mem:42.57M (Peak 42.57M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B058 • Civic Terrace
Fra:1 Mem:42.68M (Peak 42.68M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B059 • Civic Terrace
Fra:1 Mem:42.88M (Peak 42.88M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B061 • Civic Terrace
Fra:1 Mem:43.06M (Peak 43.06M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B062 • Civic Terrace
Fra:1 Mem:43.04M (Peak 43.06M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B063 • Civic Terrace
Fra:1 Mem:43.15M (Peak 43.15M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B064 • Civic Terrace
Fra:1 Mem:43.33M (Peak 43.33M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B065 • Civic Terrace
Fra:1 Mem:43.36M (Peak 43.36M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B066 • Civic Terrace
Fra:1 Mem:43.41M (Peak 43.41M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B067 • Old Quay
Fra:1 Mem:43.51M (Peak 43.51M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B068 • Old Quay
Fra:1 Mem:43.56M (Peak 43.56M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B069 • Old Quay
Fra:1 Mem:43.59M (Peak 43.59M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B070 • Old Quay
Fra:1 Mem:43.62M (Peak 43.62M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B071 • Old Quay
Fra:1 Mem:43.69M (Peak 43.69M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B072 • Old Quay
Fra:1 Mem:43.71M (Peak 43.71M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B073 • Old Quay
Fra:1 Mem:43.78M (Peak 43.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B074 • Old Quay
Fra:1 Mem:43.78M (Peak 43.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B075 • Old Quay
Fra:1 Mem:43.88M (Peak 43.88M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B076 • Old Quay
Fra:1 Mem:43.90M (Peak 43.90M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B077 • Old Quay
Fra:1 Mem:43.98M (Peak 43.98M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B078 • Old Quay
Fra:1 Mem:44.01M (Peak 44.01M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B079 • Old Quay
Fra:1 Mem:44.03M (Peak 44.04M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B080 • Old Quay
Fra:1 Mem:44.08M (Peak 44.08M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B081 • Old Quay
Fra:1 Mem:44.10M (Peak 44.10M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B082 • Old Quay
Fra:1 Mem:44.15M (Peak 44.15M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B083 • Old Quay
Fra:1 Mem:44.21M (Peak 44.21M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B084 • Old Quay
Fra:1 Mem:44.23M (Peak 44.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B085 • Civic Terrace
Fra:1 Mem:44.24M (Peak 44.25M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B086 • Civic Terrace
Fra:1 Mem:44.36M (Peak 44.36M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B087 • Civic Terrace
Fra:1 Mem:44.47M (Peak 44.47M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B088 • Civic Terrace
Fra:1 Mem:44.50M (Peak 44.50M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B089 • Civic Terrace
Fra:1 Mem:44.65M (Peak 44.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B090 • Civic Terrace
Fra:1 Mem:44.79M (Peak 44.79M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B091 • Civic Terrace
Fra:1 Mem:44.92M (Peak 44.92M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B092 • Civic Terrace
Fra:1 Mem:44.96M (Peak 44.96M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B093 • Civic Terrace
Fra:1 Mem:45.05M (Peak 45.05M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B094 • Civic Terrace
Fra:1 Mem:45.19M (Peak 45.19M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B095 • Civic Terrace
Fra:1 Mem:45.29M (Peak 45.29M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B096 • Civic Terrace
Fra:1 Mem:45.34M (Peak 45.34M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B097 • Civic Terrace
Fra:1 Mem:45.52M (Peak 45.52M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B098 • Civic Terrace
Fra:1 Mem:45.60M (Peak 45.60M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B099 • Civic Terrace
Fra:1 Mem:45.72M (Peak 45.72M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B100 • Civic Terrace
Fra:1 Mem:45.71M (Peak 45.72M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B101 • Civic Terrace
Fra:1 Mem:45.76M (Peak 45.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B102 • Civic Terrace
Fra:1 Mem:45.89M (Peak 45.89M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B103 • Garden Quarter
Fra:1 Mem:45.92M (Peak 45.92M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B104 • Garden Quarter
Fra:1 Mem:45.92M (Peak 45.92M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B105 • Garden Quarter
Fra:1 Mem:46.04M (Peak 46.04M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B106 • Garden Quarter
Fra:1 Mem:46.04M (Peak 46.04M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B107 • Garden Quarter
Fra:1 Mem:46.06M (Peak 46.06M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B108 • Garden Quarter
Fra:1 Mem:46.10M (Peak 46.10M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B109 • Garden Quarter
Fra:1 Mem:46.15M (Peak 46.15M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B111 • Garden Quarter
Fra:1 Mem:46.21M (Peak 46.21M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B113 • Garden Quarter
Fra:1 Mem:46.35M (Peak 46.35M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B114 • Garden Quarter
Fra:1 Mem:46.39M (Peak 46.39M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B115 • Garden Quarter
Fra:1 Mem:46.40M (Peak 46.40M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B116 • Garden Quarter
Fra:1 Mem:46.43M (Peak 46.43M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B117 • Garden Quarter
Fra:1 Mem:46.49M (Peak 46.49M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B118 • Garden Quarter
Fra:1 Mem:46.52M (Peak 46.52M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B119 • Garden Quarter
Fra:1 Mem:46.59M (Peak 46.59M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B120 • Garden Quarter
Fra:1 Mem:46.64M (Peak 46.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B123 • Innovation District
Fra:1 Mem:46.65M (Peak 46.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B124 • Innovation District
Fra:1 Mem:46.81M (Peak 46.81M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B125 • Innovation District
Fra:1 Mem:47.09M (Peak 47.09M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B126 • Innovation District
Fra:1 Mem:47.13M (Peak 47.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B127 • Innovation District
Fra:1 Mem:47.23M (Peak 47.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B128 • Innovation District
Fra:1 Mem:47.31M (Peak 47.31M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B129 • Innovation District
Fra:1 Mem:47.31M (Peak 47.31M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B130 • Innovation District
Fra:1 Mem:47.42M (Peak 47.42M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B131 • Innovation District
Fra:1 Mem:47.53M (Peak 47.53M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B132 • Innovation District
Fra:1 Mem:47.59M (Peak 47.59M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B133 • Innovation District
Fra:1 Mem:47.62M (Peak 47.62M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B134 • Innovation District
Fra:1 Mem:47.77M (Peak 47.77M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B135 • Innovation District
Fra:1 Mem:47.84M (Peak 47.84M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B136 • Innovation District
Fra:1 Mem:47.83M (Peak 47.84M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B137 • Innovation District
Fra:1 Mem:47.96M (Peak 47.96M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B138 • Innovation District
Fra:1 Mem:48.11M (Peak 48.11M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B139 • Garden Quarter
Fra:1 Mem:48.17M (Peak 48.17M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B140 • Garden Quarter
Fra:1 Mem:48.19M (Peak 48.19M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B141 • Garden Quarter
Fra:1 Mem:48.23M (Peak 48.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B142 • Garden Quarter
Fra:1 Mem:48.30M (Peak 48.30M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B143 • Garden Quarter
Fra:1 Mem:48.35M (Peak 48.35M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B144 • Garden Quarter
Fra:1 Mem:48.40M (Peak 48.40M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B145 • Garden Quarter
Fra:1 Mem:48.39M (Peak 48.40M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B146 • Garden Quarter
Fra:1 Mem:48.47M (Peak 48.47M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B147 • Garden Quarter
Fra:1 Mem:48.49M (Peak 48.49M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B148 • Garden Quarter
Fra:1 Mem:48.49M (Peak 48.49M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B149 • Garden Quarter
Fra:1 Mem:48.52M (Peak 48.52M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B150 • Garden Quarter
Fra:1 Mem:48.61M (Peak 48.61M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B151 • Innovation District
Fra:1 Mem:48.73M (Peak 48.73M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B152 • Innovation District
Fra:1 Mem:48.76M (Peak 48.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B154 • Innovation District
Fra:1 Mem:48.78M (Peak 48.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B155 • Innovation District
Fra:1 Mem:48.95M (Peak 48.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B156 • Innovation District
Fra:1 Mem:49.25M (Peak 49.25M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B157 • Innovation District
Fra:1 Mem:49.34M (Peak 49.34M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B158 • Innovation District
Fra:1 Mem:49.39M (Peak 49.39M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B159 • Innovation District
Fra:1 Mem:49.42M (Peak 49.42M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B160 • Innovation District
Fra:1 Mem:49.51M (Peak 49.51M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B161 • Innovation District
Fra:1 Mem:49.51M (Peak 49.51M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B162 • Innovation District
Fra:1 Mem:49.64M (Peak 49.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B163 • Innovation District
Fra:1 Mem:49.64M (Peak 49.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B164 • Innovation District
Fra:1 Mem:49.75M (Peak 49.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B165 • Innovation District
Fra:1 Mem:49.96M (Peak 49.96M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B166 • Innovation District
Fra:1 Mem:50.05M (Peak 50.05M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B167 • Innovation District
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B168 • Innovation District
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B169 • Garden Quarter
Fra:1 Mem:50.26M (Peak 50.26M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B170 • Garden Quarter
Fra:1 Mem:50.28M (Peak 50.29M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B171 • Garden Quarter
Fra:1 Mem:50.35M (Peak 50.35M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B172 • Garden Quarter
Fra:1 Mem:50.46M (Peak 50.46M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B173 • Garden Quarter
Fra:1 Mem:50.43M (Peak 50.46M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B174 • Garden Quarter
Fra:1 Mem:50.52M (Peak 50.52M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B175 • Garden Quarter
Fra:1 Mem:50.54M (Peak 50.54M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B177 • Garden Quarter
Fra:1 Mem:50.56M (Peak 50.56M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B178 • Garden Quarter
Fra:1 Mem:50.60M (Peak 50.61M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B179 • Garden Quarter
Fra:1 Mem:50.70M (Peak 50.70M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B180 • Garden Quarter
Fra:1 Mem:50.76M (Peak 50.77M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B181 • Garden Quarter
Fra:1 Mem:50.78M (Peak 50.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B182 • Garden Quarter
Fra:1 Mem:50.80M (Peak 50.80M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B183 • Garden Quarter
Fra:1 Mem:50.86M (Peak 50.86M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B185 • Garden Quarter
Fra:1 Mem:50.91M (Peak 50.91M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B187 • Innovation District
Fra:1 Mem:50.90M (Peak 50.91M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B189 • Innovation District
Fra:1 Mem:51.22M (Peak 51.22M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B190 • Innovation District
Fra:1 Mem:51.35M (Peak 51.35M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B191 • Innovation District
Fra:1 Mem:51.42M (Peak 51.42M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B192 • Innovation District
Fra:1 Mem:51.57M (Peak 51.57M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B193 • Innovation District
Fra:1 Mem:51.61M (Peak 51.61M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B194 • Innovation District
Fra:1 Mem:51.63M (Peak 51.63M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B195 • Innovation District
Fra:1 Mem:51.77M (Peak 51.77M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B196 • Innovation District
Fra:1 Mem:51.81M (Peak 51.81M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B197 • Innovation District
Fra:1 Mem:51.84M (Peak 51.84M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B198 • Innovation District
Fra:1 Mem:51.97M (Peak 51.97M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B199 • Innovation District
Fra:1 Mem:52.05M (Peak 52.05M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B200 • Innovation District
Fra:1 Mem:52.23M (Peak 52.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B201 • Innovation District
Fra:1 Mem:52.27M (Peak 52.27M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B202 • Innovation District
Fra:1 Mem:52.27M (Peak 52.27M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B203 • Innovation District
Fra:1 Mem:52.39M (Peak 52.39M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B204 • Innovation District
Fra:1 Mem:52.49M (Peak 52.49M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lamp_0
Fra:1 Mem:52.54M (Peak 52.54M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Existing transit • corridor offset 2 m for visibility
Fra:1 Mem:52.50M (Peak 52.54M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Four station shelters • batched
Fra:1 Mem:52.52M (Peak 52.54M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node_0
Fra:1 Mem:52.75M (Peak 52.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Studio floor • excluded from GLB
Fra:1 Mem:52.74M (Peak 52.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Warm softbox
Fra:1 Mem:52.75M (Peak 52.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sky fill
Fra:1 Mem:52.75M (Peak 52.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Afternoon sun
Fra:1 Mem:52.78M (Peak 52.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:39.41M (Peak 52.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:39.41M (Peak 52.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:39.41M (Peak 52.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:39.41M (Peak 52.78M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:39.51M (Peak 52.78M) | Time:00:00.03 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:39.51M (Peak 52.78M) | Time:00:00.03 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Background
Fra:1 Mem:39.51M (Peak 52.78M) | Time:00:00.03 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:39.51M (Peak 52.78M) | Time:00:00.03 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:39.51M (Peak 52.78M) | Time:00:00.03 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:39.51M (Peak 52.78M) | Time:00:00.03 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:39.65M (Peak 52.78M) | Time:00:00.03 | Mem:0.15M, Peak:0.15M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:39.65M (Peak 52.78M) | Time:00:00.03 | Mem:0.15M, Peak:0.15M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:39.65M (Peak 52.78M) | Time:00:00.03 | Mem:0.15M, Peak:0.15M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:39.65M (Peak 52.78M) | Time:00:00.03 | Mem:0.15M, Peak:0.15M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:39.65M (Peak 52.78M) | Time:00:00.03 | Mem:0.15M, Peak:0.15M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:42.13M (Peak 52.78M) | Time:00:00.03 | Mem:0.17M, Peak:0.17M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:42.08M (Peak 52.78M) | Time:00:00.03 | Mem:2.58M, Peak:2.58M | Scene, ViewLayer | Updating Geometry BVH Shared graph node glyph 4/3 | Building BVH
Fra:1 Mem:42.08M (Peak 52.78M) | Time:00:00.03 | Mem:2.58M, Peak:2.58M | Scene, ViewLayer | Updating Geometry BVH Shared graph node glyph 4/3 | Building BVH 0%
